PLAYER,TEAM,AGE,GP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,PLMI,WEIGHT,HEIGHT
Justise Winslow,MEM,25,26,13,13,19.5,6.8,2.8,8.1,35.2,0.4,2.1,18.5,0.8,1.3,57.1,0.7,3.8,4.5,1.9,1.4,0.6,0.5,1.8,16.9,1,0,-3,101,198
Jusuf Nurkic,POR,26,37,22,15,23.8,11.5,4.6,9,51.4,0.3,0.8,40,1.9,3.1,61.9,2.3,6.6,9,3.4,2,1,1.1,2.8,31.6,13,0,3.4,132,211
Juwan Morgan,UTA,24,29,24,5,5.1,1.2,0.5,1,46.7,0.1,0.4,30.8,0.1,0.2,42.9,0.3,0.7,1,0.3,0.1,0.1,0,0.7,3.2,0,0,-3.7,105,201
Karim Mane,ORL,21,10,2,8,8.8,1.1,0.3,1.3,23.1,0.1,0.2,50,0.4,0.5,80,0.1,1.3,1.4,0.4,0.3,0,0.2,1,3.7,0,0,-2.2,86,191
Karl-Anthony Towns,MIN,25,50,19,31,33.8,24.8,8.5,17.5,48.6,2.4,6.3,38.7,5.3,6.2,85.9,2.7,7.9,10.6,4.5,3.2,0.8,1.1,3.7,46.8,33,0,0.2,112,211
Kawhi Leonard,LAC,30,52,36,16,34.1,24.8,8.9,17.5,51.2,1.9,4.9,39.8,5,5.7,88.5,1.1,5.4,6.5,5.2,2,1.6,0.4,1.6,44.2,9,0,8.6,102,201
Keita Bates-Diop,SAS,25,30,13,17,8.2,2.6,1,2.2,44.8,0.2,0.6,29.4,0.5,0.7,66.7,0.3,1.3,1.6,0.4,0.2,0.4,0.2,0.4,6.6,0,0,-1.2,104,203
Kelan Martin,IND,25,35,16,19,9.2,4.5,1.8,3.9,44.9,0.7,1.7,40,0.3,0.3,90,0.5,1.7,2.2,0.5,0.5,0.3,0.3,1,9.1,0,0,2.7,104,196
Keldon Johnson,SAS,21,69,32,37,28.5,12.8,4.9,10.2,47.9,0.9,2.6,33.1,2.1,2.8,74,1.3,4.6,6,1.8,1.1,0.6,0.3,2.1,24.2,8,0,-2.5,100,196
Keljin Blevins,POR,25,17,11,6,4.4,0.7,0.3,1.2,25,0.1,0.5,25,0,0,0,0.2,0.4,0.6,0.2,0.3,0.1,0,0.5,1.8,0,0,-2.2,91,193
Kelly Olynyk,HOU,30,70,26,44,28.5,13.5,4.8,10,48.4,1.8,5.3,34.2,2.1,2.5,82.9,1.2,5.7,7,2.9,1.8,1.1,0.6,3,29.6,12,0,-1.4,109,211
