"","TEAM","PTS","AGE","MIN","FGA","X3PM","REB","AST","KG","CM"
"474","OKC",8.5,24,20.1,7.7,1.6,2.5,1.7,93,201
"475","POR",1.7,24,5.1,1.4,0,0.7,0.1,101,208
"476","IND",8.6,29,26,7.1,0.2,3.7,6.6,86,185
"477","IND",15.5,27,29.3,12.8,0,3.5,1.3,100,203
"478","BOS",2.5,25,7.1,1.5,0,2.7,0.2,141,226
"479","NYK",5.4,36,20.8,3.5,0.1,5.6,0.8,105,206
"480","LAL",9,20,20.1,7.5,0.6,2.6,2.8,106,193
"481","CLE",9.5,27,22.1,8,1.5,3.5,1.9,99,201
"482","LAC",7,24,18.9,5.2,0.6,3.6,1.6,98,196
"483","SAC",8.7,24,17.6,7.5,1.6,2.5,1.4,91,193
"484","PHI",0.2,23,3.8,0.5,0,0.1,0.2,86,198
"485","ORL",15.6,30,29.3,13.4,1.9,3.4,2.3,93,198
"486","CHA",20.4,27,34.5,16.4,3.2,4.4,4.2,86,185
"487","CHI",12.1,33,24.3,9.7,0.2,6.2,4.3,107,203
"488","MIL",2.9,28,9.7,2.4,0.1,2.2,0.8,99,198
"489","OKC",10.1,20,27.3,9.4,1.6,3.2,3.5,79,193
"490","NYK",0.1,25,2,0.5,0,0.3,0.1,96,196
"491","WAS",14.3,23,27.1,9.1,0.9,6.1,1.5,112,208
"492","CLE",3.8,24,9.6,2.3,0,2.3,0.5,100,213
"493","MEM",1.6,30,12.4,4,0,1.6,3.2,77,183
"494","DAL",16.6,29,28.4,13,3,3.3,1.8,93,196
"495","BKN",6.4,26,18.1,6.1,1.3,2.2,1.2,100,201
"496","PHI",19.5,28,32.5,14.9,1.3,6.8,3.5,103,203
"497","CHI",7.7,29,22.5,5.7,0.7,2.4,4.7,95,201
"498","OKC",7.1,23,16.3,4.7,0,5.7,0.9,112,208
"499","ATL",5.3,29,21.1,3.6,1.3,2.4,1.3,97,198
"500","PHX",5.5,30,16.1,4.5,0.8,3.9,1,100,201
"501","ATL",25.3,22,33.7,17.7,2.2,3.9,9.4,82,185
