"","PTS","AGE","MIN","FGA","X3PM","REB","AST","WEIGHT","HEIGHT"
"318",5.3,22,10.5,3.8,0.8,1.7,1.3,91,193
"319",3.9,24,20,3.7,0.7,1.9,1,91,196
"320",3.1,26,7.3,2.8,0.6,1,0.4,86,193
"321",2.8,30,17.2,4.3,0.3,1.8,4.5,91,191
"322",5.2,28,20.9,4.5,0.6,2.4,1.2,100,201
"323",6.1,25,13,4.8,1.3,1.1,0.6,98,196
"324",7.1,29,26.8,5.5,1.7,5.2,1.4,109,208
"325",3.3,29,9.8,2.3,1,2.3,0.7,118,213
"326",2.4,23,7.2,2.3,0.3,1.5,0.4,113,206
"327",8.8,29,25.8,8.7,0.5,4.5,4.2,86,196
"328",19,23,31.3,13.4,2.8,7.3,1.1,99,208
"329",13.5,24,32.6,9.3,1.9,4.3,2.1,95,198
"330",16.2,33,29.4,12.5,2.7,3.5,6,79,185
"331",7.7,30,18.2,7.1,0.8,2.5,4.2,79,185
"332",9.7,29,18.4,7.6,1.9,3.8,0.8,109,208
"333",4.2,32,16.7,4.1,1,2.4,0.8,108,201
"334",12.7,23,29.3,9.4,1.8,6,2.2,102,198
"335",1.9,23,9.6,1.8,0.6,1.6,0.5,93,196
"336",8,23,15.8,6.5,0.8,5.8,0.8,105,213
"337",10.2,26,25.5,8.2,1.1,2,3.2,83,188
"338",6.9,24,16,5.1,0.7,3.2,1.1,111,211
"339",5.6,27,12.8,4.4,1.4,1,0.4,83,191
"340",12.6,25,31,9.2,1.5,6.5,1,113,211
"341",7.7,23,21.9,6.5,0.9,4.6,2.8,100,201
"342",4.6,21,13.3,3.5,0.6,2.7,0.5,100,196
"343",1.3,22,3.7,1,0.3,0.1,0.1,91,198
"344",2,22,4.4,2,0.2,0.4,0.4,95,196
"345",3.8,23,8.4,3,0.2,2.2,0.2,115,208
"346",11.2,21,19.2,8.3,0.9,4.6,1,120,206
"347",6.5,33,16.1,5.3,0.7,3.4,1.9,106,208
